schema,table,size
risk,temp_ac_ssense_feedback_20181207,384
risk,temp_ac_samsung_cc_cbs_05212019,384
risk,lfmrff20170809,320
risk,temp_dr_ebay_decisions_127k_20190709,320
risk,lf_wish_12010125_calib,320
datalake_test_archive,archive_temp,256
chargebacks,shopify_cb_first_scrub_temp,210
chargebacks,platform_decision_investigation_temp,200
chargebacks,reversals_temp,192
billing,recurly_customer_temp,105
public,sandeep_test,105
data_processed,blacklist_whitelist_tmx_device_temp,95
chargebacks,platform_chargeback_input_temp,90
risk,temp_ac_raw_cbs_samsung_tdfinancing_05032019,65
risk,temp_ac_ssense_cbs_02012019,56
risk,temp_ac_samsung_dr_decisions_05102019_2,50
risk,temp_ac_walmartmx_2019chargebacks_07312019,50
risk,wmx_v2_txns_temp,40
datalagoon,chargebacks_staging_2019_09_29_234500,38
risk,qs_wish_ebanx_dec_cb_20190807,35
risk,qs_wish_ebanx_feb_cb_20190807,35
risk,temp_pl_cbs_lenovo_09032019,35
datalagoon,claims_staging_2019_09_29_234500,34
risk,temp_pl_samsung_declines_09172019,20
